종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,업종명
289080,SV인베스트먼트,KOSDAQ,중견기업부,2005,-10,-0.5,2005,2015,1973,423929,843559153,106734170000,53234000,금융
084870,TBH글로벌,KOSPI,,1449,-1,-0.07,1435,1450,1425,9850,14169857,30221530731,20856819,섬유의복
002710,TCC스틸,KOSPI,,48450,-1100,-2.22,49000,50300,48350,209852,10243991200,1270053619650,26213697,철강금속
089230,THE E&M,KOSDAQ,중견기업부,1585,-9,-0.56,1595,1620,1584,83322,133006575,34223234410,21591946,기타서비스
032540,TJ미디어,KOSDAQ,우량기업부,5750,-40,-0.69,5800,5810,5730,8622,49697990,80106751750,13931609,일반전기전자
022220,TKG애강,KOSDAQ,우량기업부,1111,-5,-0.45,1116,1116,1109,6997,7776533,57543777269,51794579,화학
069260,TKG휴켐스,KOSPI,,19460,70,0.36,19440,19490,19260,43788,848229570,795497322480,40878588,화학
007980,TP,KOSPI,,1690,-7,-0.41,1693,1709,1679,267649,452035502,86485969700,51175130,섬유의복
048770,TPC,KOSDAQ,벤처기업부,3305,5,0.15,3310,3365,3290,49292,163580980,51881860255,15697991,기계·장비
246690,TS인베스트먼트,KOSDAQ,중견기업부,1182,-1,-0.08,1182,1350,1175,4539043,5735634008,49026832884,41477862,금융
317240,TS트릴리온,KOSDAQ,관리종목(소속부없음),314,0,0.0,0,0,0,0,0,33673649508,107240922,화학
002900,TYM,KOSPI,,4235,45,1.07,4180,4305,4165,163340,691459645,190790798660,45050956,기계
024070,WISCOM,KOSPI,,2355,15,0.64,2335,2390,2330,24907,58634475,36093761490,15326438,화학
057030,YBM넷,KOSDAQ,중견기업부,3665,55,1.52,3600,3680,3600,26333,96025370,59786034505,16312697,기타서비스
037270,YG PLUS,KOSPI,,3330,-35,-1.04,3360,3460,3325,104374,352568240,211219935300,63429410,서비스업
040300,YTN,KOSDAQ,우량기업부,3165,35,1.12,3130,3195,3125,36098,113643775,132930000000,42000000,오락·문화
051390,YW,KOSDAQ,벤처기업부,3780,0,0.0,3800,3805,3760,8782,33230605,42923291040,11355368,유통
052220,iMBC,KOSDAQ,중견기업부,2995,0,0.0,3005,3015,2955,61341,183283880,68885000000,23000000,오락·문화
079940,가비아,KOSDAQ,우량기업부,15580,30,0.19,15550,15630,15430,16341,253472100,210885956720,13535684,출판·매체복제
078890,가온그룹,KOSDAQ,중견기업부,5110,10,0.2,5100,5180,5080,66287,338969170,88965902270,17410157,일반전기전자
000500,가온전선,KOSPI,,50600,-2500,-4.71,52900,53700,50600,222329,11498544400,372312067600,7357946,전기전자
399720,가온칩스,KOSDAQ,벤처기업부,66700,-1600,-2.34,66500,67200,65200,148690,9811613000,766270944000,11488320,일반전기전자
296520,가이아코퍼레이션,KONEX,일반기업부,2000,-50,-2.44,2000,2000,2000,1,2000,9334016000,4667008,
036620,감성코퍼레이션,KOSDAQ,우량기업부,3950,-10,-0.25,3955,4150,3910,1056772,4217339915,358442323400,90744892,유통
000860,강남제비스코,KOSPI,,25350,250,1.0,25300,25350,24850,4372,109588200,164775000000,6500000,화학
198440,강동씨앤엘,KOSDAQ,중견기업부,1890,-69,-3.52,1959,1982,1890,374054,714469705,60442124400,31979960,비금속
217730,강스템바이오텍,KOSDAQ,기술성장기업부,2020,-100,-4.72,2090,2135,1999,989357,2020150285,113229380980,56054149,제약
035250,강원랜드,KOSPI,,14250,120,0.85,14160,14410,14140,438249,6246734140,3048652125000,213940500,서비스업
114190,강원에너지,KOSDAQ,우량기업부,14940,0,0.0,14800,15380,14700,103261,1539191780,390278187720,26123038,일반전기전자
094480,갤럭시아머니트리,KOSDAQ,중견기업부,5770,150,2.67,5570,5770,5550,290795,1691229930,226356165260,39229838,출판·매체복제
011420,갤럭시아에스엠,KOSPI,,1980,0,0.0,1980,1990,1950,255020,531568189,54548295120,27549644,서비스업
039240,경남스틸,KOSDAQ,우량기업부,3005,0,0.0,3010,3010,2995,38350,114991640,81073710020,26979604,금속
053950,경남제약,KOSDAQ,중견기업부,1047,0,0.0,0,0,0,0,0,37266291894,35593402,제약
002100,경농,KOSPI,,10010,-60,-0.6,10050,10070,10010,45125,452421220,195420975750,19522575,화학
009450,경동나비엔,KOSPI,,51500,-300,-0.58,52300,52400,51100,14874,767606300,750282488000,14568592,전기전자
267290,경동도시가스,KOSPI,,19550,-100,-0.51,19650,19710,19550,15599,305716580,115255187300,5895406,전기가스업
012320,경동인베스트,KOSPI,,85800,2200,2.63,84000,90800,82900,150401,13040198500,202918973400,2365023,기타금융
011040,경동제약,KOSDAQ,중견기업부,6890,50,0.73,6840,6960,6760,153910,1056515760,211996797740,30768766,제약
000050,경방,KOSPI,,7730,20,0.26,7770,7770,7660,932,7186360,211920037100,27415270,유통업
214390,경보제약,KOSPI,,7440,0,0.0,0,0,0,0,0,177867038400,23906860,의약품
012610,경인양행,KOSPI,,3480,5,0.14,3495,3510,3460,25300,87951720,144824950200,41616365,화학
009140,경인전자,KOSPI,,22100,-400,-1.78,22500,22500,22000,5238,116216100,34714613700,1570797,전기전자
024910,경창산업,KOSDAQ,우량기업부,2770,-230,-7.67,2880,2955,2760,2154641,6152671795,99218643850,35819005,운송장비·부품
013580,계룡건설,KOSPI,,13730,170,1.25,13690,14060,13670,26848,372339000,122621353110,8930907,건설업
012200,계양전기,KOSPI,,1709,-8,-0.47,1717,1729,1700,48391,82723148,46523814761,27222829,기계
012205,계양전기우,KOSPI,,4085,5,0.12,4080,4100,4075,1485,6064195,4775687715,1169079,기계
002140,고려산업,KOSPI,,2955,0,0.0,2975,2975,2940,21025,62135385,73696000875,24939425,음식료품
049720,고려신용정보,KOSDAQ,우량기업부,10240,200,1.99,10050,10240,10030,39027,397359830,146432000000,14300000,기타서비스
010130,고려아연,KOSPI,,541000,2000,0.37,542000,543000,534000,28966,15635102000,11200476103000,20703283,철강금속
002240,고려제강,KOSPI,,21700,0,0.0,21700,21700,21500,15896,343402700,542500000000,25000000,철강금속
014570,고려제약,KOSDAQ,우량기업부,5520,-30,-0.54,5490,5620,5480,13700,75531360,60720000000,11000000,제약
348150,고바이오랩,KOSDAQ,기술성장기업부,7590,-160,-2.06,7560,7850,7500,258116,1973979780,146748885360,19334504,기타서비스
950190,고스트스튜디오,KOSDAQ,외국기업(소속부없음),9840,-20,-0.2,9780,9900,9770,13732,134911570,133626137280,13579892,출판·매체복제
098460,고영,KOSDAQ,우량기업부,12500,-290,-2.27,12830,12830,12370,700445,8768923590,858184437500,68654755,기계·장비
035290,골드앤에스,KOSDAQ,중견기업부,569,4,0.71,570,576,565,38953,22126659,26430370916,46450564,출판·매체복제
900280,골든센츄리,KOSDAQ,관리종목(소속부없음),97,0,0.0,0,0,0,0,0,19924215936,205404288,금융
215000,골프존,KOSDAQ GLOBAL,우량기업부,78600,-300,-0.38,78800,79300,78200,27026,2131411400,493247619000,6275415,출판·매체복제
121440,골프존뉴딘홀딩스,KOSDAQ,우량기업부,3910,15,0.39,3885,3915,3880,47166,183649400,167491958380,42836818,유통
366030,공구우먼,KOSDAQ,중견기업부,5500,0,0.0,5500,5580,5370,61147,334661900,124596175000,22653850,섬유·의류
076340,관악산업,KONEX,일반기업부,5000,-500,-9.09,5000,5000,5000,100,500000,24357300000,4871460,
009290,광동제약,KOSPI,,6510,10,0.15,6500,6560,6470,58470,381261510,341259740010,52420851,의약품
086220,광동헬스바이오,KONEX,일반기업부,2730,15,0.55,2825,2825,2730,43,117625,28866651450,10573865,
014200,광림,KOSDAQ,관리종목(소속부없음),1006,0,0.0,0,0,0,0,0,91250936176,90706696,운송장비·부품
017040,광명전기,KOSPI,,2220,-30,-1.33,2290,2290,2220,475714,1069417345,96209505300,43337615,전기전자
029480,광무,KOSDAQ,중견기업부,4135,135,3.38,3985,4275,3940,1885933,7857762495,200436404955,48473133,일반전기전자
017900,광전자,KOSPI,,2075,-20,-0.95,2075,2100,2060,55697,115769525,120233308225,57943763,전기전자
037710,광주신세계,KOSPI,,30200,0,0.0,30300,30300,30150,3352,101234150,240307138000,7957190,유통업
026910,광진실업,KOSDAQ,중견기업부,2905,-30,-1.02,2930,2965,2885,5484,15869750,18607701525,6405405,금속
421800,교보12호스팩,KOSDAQ,SPAC(소속부없음),2535,120,4.97,2420,2585,2410,127059,318070910,15159300000,5980000,금융
440790,교보13호스팩,KOSDAQ,SPAC(소속부없음),2365,0,0.0,2380,2380,2365,1178,2786280,9578250000,4050000,금융
456490,교보14호스팩,KOSDAQ,SPAC(소속부없음),2295,-10,-0.43,2280,2300,2275,3856,8798350,9639000000,4200000,금융
465320,교보15호스팩,KOSDAQ,SPAC(소속부없음),2225,-5,-0.22,2230,2230,2205,3364,7435510,8477250000,3810000,금융
030610,교보증권,KOSPI,,5210,80,1.56,5100,5210,5100,20203,104370580,593747026810,113962961,증권
339770,교촌에프앤비,KOSPI,,9900,-100,-1.0,10180,10180,9890,42081,418795070,247327146000,24982540,유통업
053270,구영테크,KOSDAQ,우량기업부,2535,10,0.4,2530,2545,2505,29261,73707995,69485376675,27410405,운송장비·부품
007690,국도화학,KOSPI,,39850,800,2.05,39350,40100,39200,25654,1019486600,359073047600,9010616,화학
005320,국동,KOSPI,,495,-1,-0.2,496,496,492,62707,30993694,33327309015,67327897,유통업
001140,국보,KOSPI,,2110,0,0.0,0,0,0,0,0,33456978680,15856388,운수창고업
066620,국보디자인,KOSDAQ,우량기업부,16070,-70,-0.43,16140,16150,15990,4306,69020150,120525000000,7500000,건설
043650,국순당,KOSDAQ,우량기업부,6400,-120,-1.84,6410,6570,6380,188553,1213701760,114293145600,17858304,음식료·담배
006050,국영지앤엠,KOSDAQ,중견기업부,1115,0,0.0,1114,1134,1105,43326,48351117,38908195945,34895243,비금속
060480,국일신동,KOSDAQ,중견기업부,2280,-10,-0.44,2275,2310,2255,20652,47087115,25285200000,11090000,금속
078130,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0.0,0,0,0,0,0,901924696800,1127405871,종이·목재
307750,국전약품,KOSDAQ,우량기업부,5150,90,1.78,5090,5170,5090,140672,721870870,252706735350,49069269,제약
002720,국제약품,KOSPI,,5700,90,1.6,5570,5890,5570,1066137,6103489760,120611042400,21159832,의약품
243870,굿센,KONEX,일반기업부,11520,-370,-3.11,12500,12500,11520,465,5373580,33323109120,2892631,
035080,그래디언트,KOSDAQ,우량기업부,13860,-120,-0.86,13930,13980,13810,16675,231171800,201352314240,14527584,유통
453450,그리드위즈,KOSDAQ,벤처기업부,38900,-2500,-6.04,40800,41300,38550,311112,12332064400,308972975000,7942750,기타서비스
204020,그리티,KOSDAQ,벤처기업부,3030,-70,-2.26,3075,3095,3010,70679,214863720,61046712900,20147430,섬유·의류
402490,그린리소스,KOSDAQ,기술성장기업부,21050,-550,-2.55,21500,21650,21050,72984,1545941850,173998121200,8265944,일반전기전자
114450,그린생명과학,KOSDAQ,중견기업부,1965,3,0.15,1943,2000,1938,16125,31420152,39300000000,20000000,제약
083420,그린케미칼,KOSPI,,7560,-90,-1.18,7550,7620,7460,62426,469686530,181440000000,24000000,화학
186230,그린플러스,KOSDAQ,벤처기업부,9960,-100,-0.99,10320,10320,9860,33922,337838210,107769072480,10820188,금속
014530,극동유화,KOSPI,,3980,10,0.25,3955,4000,3940,113041,447529700,138780291600,34869420,화학
900070,글로벌에스엠,KOSDAQ,외국기업(소속부없음),472,-2,-0.42,471,483,471,95460,45587176,25367152896,53743968,금융
204620,글로벌텍스프리,KOSDAQ,중견기업부,4060,-25,-0.61,4060,4080,3995,558681,2247566865,230558662880,56787848,금융
019660,글로본,KOSDAQ,투자주의환기종목(소속부없음),640,-4,-0.62,644,671,630,35126,22557417,22266077440,34790746,유통
014280,금강공업,KOSPI,,4855,-15,-0.31,4885,4910,4830,24736,120252300,142394028235,29329357,철강금속
014285,금강공업우,KOSPI,,8980,60,0.67,8800,8990,8800,946,8400980,5297077500,589875,철강금속
053260,금강철강,KOSDAQ,우량기업부,5000,-20,-0.4,5080,5080,5000,8070,40537320,93600000000,18720000,금속
008870,금비,KOSPI,,61500,200,0.33,61300,61500,60600,826,50267600,61500000000,1000000,비금속광물
